provider_id,provider_name,product_id,staffel_min,staffel_max,min_looptijd_maanden,max_looptijd_maanden,rente_percentage,kosten_eenmalig,kosten_periodiek,geldig_vanaf,bron_url,bron_regel
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,12,12,1.8,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 1 jaar 1.8%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,24,24,2.0,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 2 jaar 2.0%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,36,36,2.2,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 3 jaar 2.2%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,48,48,2.4,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 4 jaar 2.4%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,60,60,2.5,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 5 jaar 2.5%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,72,72,2.5,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 6 jaar 2.5%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,84,84,2.5,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 7 jaar 2.5%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,96,96,2.55,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 8 jaar 2.55%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,108,108,2.6,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 9 jaar 2.6%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,120,120,2.65,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 10 jaar 2.65%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,132,132,2.65,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 11 jaar 2.65%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,144,144,2.65,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 12 jaar 2.65%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,156,156,2.7,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 13 jaar 2.7%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,168,168,2.7,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 14 jaar 2.7%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,180,180,2.85,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 15 jaar 2.85%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,192,192,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 16 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,204,204,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 17 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,216,216,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 18 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,228,228,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 19 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,240,240,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 20 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,252,252,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 21 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,264,264,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 22 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,276,276,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 23 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,288,288,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 24 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,300,300,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 25 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,312,312,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 26 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,324,324,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 27 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,336,336,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 28 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,348,348,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 29 jaar 2.9%
NATIONALE-NEDERLANDEN,Nationale-Nederlanden,NN_LIJFRENTE,0,999999999,360,360,2.9,75.0,0.48,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/nationale-nederlanden/banksparen-nationale-nederlanden.aspx,Aanvullende PensioenUitkering 30 jaar 2.9%
RABOBANK,Rabobank,RABO_LIJFRENTE,0,999999999,12,12,2.15,0.0,0.0,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/rabobank/banksparen-rabobank.aspx,ToekomstUitkering 1 jaar 2.15%
RABOBANK,Rabobank,RABO_LIJFRENTE,0,999999999,24,24,2.15,0.0,0.0,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/rabobank/banksparen-rabobank.aspx,ToekomstUitkering 2 jaar 2.15%
RABOBANK,Rabobank,RABO_LIJFRENTE,0,999999999,36,36,2.25,0.0,0.0,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/rabobank/banksparen-rabobank.aspx,ToekomstUitkering 3 jaar 2.25%
RABOBANK,Rabobank,RABO_LIJFRENTE,0,999999999,48,48,2.25,0.0,0.0,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/rabobank/banksparen-rabobank.aspx,ToekomstUitkering 4 jaar 2.25%
RABOBANK,Rabobank,RABO_LIJFRENTE,0,999999999,60,60,2.5,0.0,0.0,2026-03-25,https://www.banksparen.nl/pensioen-lijfrente/renteoverzicht/rabobank/banksparen-rabobank.aspx,ToekomstUitkering 5 jaar 2.5%
